name1,name2,percentage
paaxrwsa,rkppvchr,80
zeinxwxj,ueouajwo,37
vijrqyar,hfcytlmx,52
yaxplilx,bsfdruvc,33
ccscdpnj,auxpxqna,40
joyqztlm,hstpqobj,50
pvrynden,gaoucxkl,32
ruhkfecr,gvalrbgu,64
atqywtlx,rhoywuhr,40
bxvoiuwa,wbzdaelg,80
nswczaoj,tzqiioym,58
dkueygbn,yzaupbfz,87
jvdqyvzo,apeueuyf,12
pnzpnfvt,huujvgjz,86
dzltjlkt,skvmekfc,14
ohtontve,qclugzdc,7
olpkhrqc,zlrjzsze,80
baeoxvgf,oksvreim,0
yldvwzwi,kehqldmk,88
vcyyulza,fncmkwhm,77
hnvlzpbr,ipqnneue,34
scfaejgo,sijvcsxs,62
ingrcqcu,dyfmusqs,20
kzgfggbe,dsfytqio,37
recnxxbt,mbdnxzpa,4
rrfyrdsj,zodpbyzx,16
qumwundh,cyijzgfj,96
rtcrolgx,ouurjghw,35
ifjtigzw,rxccimku,60
gokkoogg,okedeimw,68
vowguifr,avxnuzud,89
jflusjdj,wvqkddbh,40
hovcqscd,vnhwqkmy,59
bzzpugnm,yhtnitda,17
jeinfleu,exqvzruz,50
zhivbxjq,gzqmdzgd,92
eiqzkwhe,gdkxifwy,44
xqgfdnlc,acyjtsjk,85
izcgnhst,tcbwaphb,82
jlixkgfi,zgfzzmwu,96
nlvrrwtb,iqkvhfsr,66
gwvpgyyg,cchraoig,0
skzkxyzm,oviwjuuh,31
viioypmg,eruvvukt,72
deanigvz,qrjpvuzl,60
rriqfajy,hftnywir,52
epspwkrx,fxqljggj,0
teyjneac,yjnihchx,19
dokxbnlx,mubbimzh,88
kvylldip,waevelkq,56
fhyisrai,zlenegml,6
hivdzole,rbrbvldf,88
hpkazgbz,eskxuhex,25
eprhiqpb,veerkjhw,30
wndqvtoo,otmvjlkw,12
eokckbnc,otsvbgyw,32
reixmivr,klrboboz,34
nngyozdj,mfsrawfq,93
jlyehiof,wszrjrwa,48
uctwjrvf,lwpfpdod,24
dgriqrjb,abuydyhe,27
sexilkqm,biqbymdu,58
bxiwpndv,xlpdyvrx,66
ipwklqfo,qkvptxuj,93
vxzsuguc,kgavhcwg,50
cowvgfkl,xuljsnzp,70
qrkolgza,obghqlzl,25
ikzdoxtf,asijgcaq,5
iwluwrit,sppkmqsy,12
zdxugfgk,cikjcpna,90
przunlwh,hpwkrope,80
buvweokf,ztzateoo,8
mqwemnob,abhltiri,90
icwlgqnb,xzigqfvt,45
nhezaeyq,zpigyrlf,3
godadicz,xnzstfbt,63
whooghxl,wueturkc,0
eqnjkoda,vcxnmfqe,40
sidbtkvk,vzwmwihf,68
uqhmbmgc,ahyagtrc,52
pgrdklao,odxmxbpg,96
erfloeio,ajhhbutn,56
sgoxrlos,izkpeird,2
nuoxjymi,ghbjknso,46
kmdkgnju,jorgbfjm,91
cahwjwap,pmgawhnb,56
boftgkiv,cubqerzc,80
ggzkwifb,helyzzhu,41
rgmysxem,ozboazmh,8
nlqilztq,ebhxneml,45
rqnbkryu,pvtmthkq,30
egrhcqly,jpbsycmk,21
galimibt,wxpkvsbz,51
wtxoyqfg,udbomsca,30
xsxalcbi,bupqosav,22
kmxbyiaj,dynjtmoo,92
jvmvdycg,gchbihse,46
sopwmfwd,dzqrgcrz,69
viirxonw,uhjpjfzd,38
ibkfesqf,sminfniy,11
vujazgfz,xatmlmdv,99
kahyqdpa,xiyifgkz,35
oowzghbp,heaxtuqd,40
gyxobtpr,tghanwrq,20
gehlglpf,ztnsoavl,77
wlkzjugy,dhlckpws,92
yikibtgy,iflcejxi,96
wyubysgn,sfdbyfsr,68
jwhkpzyc,vncrttgu,70
fasfxplo,mrwxldcw,96
idrjbmxj,bxpmscul,24
zzwvsogu,pqyoiwoe,11
flrnasdi,pybnmnbg,11
udjuqooo,ghcobkwn,86
wctxzacx,cjktftch,8
qnofqmde,wrfygpnu,82
ytqgefyp,wikbqwxu,22
xpheozjd,fcwkgosi,36
rsrnmxsb,zfbbyyaa,20
drcrnbyu,wvsewwcy,3
jtognisn,xqyvvibv,36
oarzhgbu,abpstipk,92
deqeppwe,vgkurtuk,41
hhdwlqgi,tdotdkfc,56
nkamixoo,bhoxbwzw,70
zvwumyay,vxwvvdyb,88
tyyooucn,pksgffkr,72
xmeojqth,enswdpzp,80
cqamvkih,eopkqexn,0
iirxxaou,rmscsjcn,63
exoysemr,zszwetms,48
noxvmdoc,aniktqco,24
xqryfxdx,fxhukmdu,60
hregiqth,pldsnkez,0
jsuikxyp,xydjchgq,98
npqxoaun,fkytfdkw,60
otcnjdom,gganpnpp,58
atqckmuj,uhmpivmu,24
vxykuekg,stzhlbcs,38
ygpgshxu,hoxiwpfg,20
luwoqofv,yqneghpd,36
uhgiujcr,wlvmpkkt,40
jtamobzu,bncxdumk,60
icrddhxz,rwzerlxs,32
irpbezrf,zkpcxoeu,52
sqizprzl,ndhsuqvf,69
yfjusuxu,ckcftowz,25
jzryhvff,nwglcivo,97
dzeebzlt,avzeluix,84
yargumhv,cjoqqozk,6
repkskjn,lbavepei,80
lqstdtwp,joxcqtya,17
vlhphxrg,oknpszjz,15
nskuafjw,umfnmrer,48
sjephlgs,iaaykjih,88
xmkyurki,ygugcisv,0
apumjayn,hqwoytcd,27
ebavqilc,ydpyxgcx,44
hlawhrrc,djieeogl,65
rgzjvhzh,yenxfahu,96
pdtrprmd,zrhaivdv,6
gcujtdzc,yzvrbvxc,20
bvnfnckx,ojbbzfuu,44
razlmfcw,fxuikwqn,10
jbndyxbb,wwbopwkr,49
ecfjmglo,xkyvatsm,17
lfvvnyzv,xarwaisr,77
kzhrbmja,dycdxhap,21
gsaekhwp,qqrdmdkh,80
qnhadcva,qxdzyqmh,76
bxkebuce,bgkwbzzz,31
mzwhtnhi,jzieiqlj,74
sntmktfe,xtzzjzqz,68
jebivzwj,iymdezxp,50
wfrczlar,kwjrvqmu,25
fcrlyjvz,xfidvqsv,90
bafprbpa,pontzvsn,20
wrcpyxps,ejsgzhrs,60
ptbflhsc,cihyzajf,24
kfoqviat,pvfspznq,76
zviwtgzf,yadsxxgp,16
hpufxdhp,zwnbyquz,62
fbbzgoct,fcqacahr,25
sajjwjji,pldhqhsl,40
ivjkfdnd,oyojxjhr,64
xhvjbgrz,puxwbxrt,60
xjzbhaym,ahhjvgbl,26
pxlmwwmr,tegcwyuv,40
mpqykvsy,xmeqrhhh,4
opkudxix,sbtvlihh,56
zotiumkf,bktxunvm,55
vgrwujye,csmzsnnr,6
hejobyig,tmonlfac,48
qmedpwgc,kzukhqtp,88
afsdmzla,zsmkpcai,0
artskbwx,tiqunyqy,76
yesdstrx,amekpxax,26
iromyucg,hdlvyode,77
cjnpsasl,nhgygsce,72
qmfbpwes,ekjtnlzr,96
zjpaxduy,qkmuwurw,25
jawwgkjp,lqsqvdxo,62
sdtnqojx,cmndfbvg,49
fygqmlhk,odrmyhlf,23
exuryeco,paythedj,88
bhtgxoqd,twdbqfaa,30
yoziyril,ataeekfz,1
updgznpn,asfpcctj,56
qpduayal,xqtrtkun,45
ovsypbax,ogwzhaoc,72
ggfkmfby,vkzcgeyj,65
piwwtsot,qgpmhmyr,5
gfmkvgoj,esdoiwcc,91
jlxsmfux,djmiepka,89
zilwbqko,acfavvkm,1
ihirboeq,wpiearnl,66
pkrvqprb,spptkvni,60
ehpsjnil,tgihocab,13
pqzndxwl,aoyuspuw,36
kwdfiero,kkxuvvib,10
kdiotwts,cfvyolqp,76
vygwmnvi,rynnueyz,48
gwajxqjn,gpcvfiwt,76
kjkweout,jrzsyapu,36
slufjasi,axytcdid,70
tybhlvqn,dceccwsv,0
pypvjwwy,psuffmmm,0
oxmrliow,mauiassl,11
ajvyvoks,dyvwvynm,88
webvaqxi,vxphkqfx,16
uywvfxhs,jigrkgvp,88
gwpkksmy,vucrikli,89
sucumvhj,oxvedlgu,30
ootlbclb,hheggmqx,93
txhpqpor,tjiguzia,42
zzdfmfiz,lzqxiruy,80
ecdfalxv,ubaaleha,55
tybpivbk,hulixtwu,50
kzotkqko,itdjwhko,92
gljhttdx,erxkcfdp,15
ypgmzacq,lkftvfgv,24
cjbdojpp,gblhfhhf,0
lpypnhvd,iwlpnyin,50
lrvtjviu,qwpkwvji,98
vnbahqbv,aadxwuoq,44
fbfnrsqp,rulnpzzn,90
aiybxxug,dsjwkcar,17
zinfuzqm,asgrehbe,0
wbnmkujy,cauidlsz,81
jwvmukia,pvngkkvb,94
hlkrifah,eejimpqi,32
mbkfsltf,odtaczhd,93
ejgtmmdq,nojgeaoy,20
spzpkvav,xphbghfj,49
fpygyuca,dyavdrvj,28
ylmfrqvs,wruoxfcl,0
ncqdwwgo,pzwirzip,14
azdroiak,tuzxmoaj,94
xnqedmbi,gyngrejz,80
ysgaelop,fqbqehqe,60
yqkliddp,ltbfwryq,6
mcikhfii,zwatlxho,92
mtgbflpg,aetyrkug,76
erenimlf,vnsdihxk,50
vvtglxmu,pitpyvep,73
msvujqlr,hqinxgwm,0
airjqwgh,hovhpbso,53
nerflmvu,osbujthv,15
yghycrby,knqwqelu,28
fsgghvhu,dykzibgx,16
rmequxzt,lqnyehph,76
rhfllmhh,oielhqtf,80
dzzanknk,jgursuvd,50
iuhfdifx,njykdupx,15
njecjrao,ieeontog,52
saqpoulr,kwsauitg,73
yleingeh,akckocmc,84
tmqofnzw,sffxaqhl,22
rjsnvuub,bnrdjxvx,70
zprfrije,arlybcje,44
fpwzapxi,wfkkdtjv,75
maptklqv,pznndxdp,80
gfmuytqr,ezjwwhkw,15
ogoourdr,iomganvt,89
fkridcof,nvchqvmb,60
qhropsew,fxtjjfap,29
rvwyhweb,iqacgpgd,8
mhfdyfbv,xcssxsfx,24
clunowsm,cvdgnpyb,68
spvpmcjb,xdsuurac,51
xfzbuwxw,dmjkebbn,93
oejflfvp,efolffsb,40
rvcwsmgg,ukdpihdv,40
ejfbepiv,dtnkwdti,39
cfpmkxih,trhginss,56
xabjbodp,zfplfxos,64
hliefxzv,maxbljsn,40
rqbujudi,qwdtimzm,10
orczxjgc,tbyivorr,78
ihnfmwtc,phcaabvn,40
zttzxpam,hlnsquda,96
wbjmolma,bmdordyg,92
vchfmnqy,kmvdszkn,88
lpvxzdlp,dtdqgmrj,0
zrexghis,zhqucshq,8
pdsouqxy,juqhjgvb,85
cvcgptpb,gzqynbmn,2
kjocnidc,duextcqx,82
ebrlxiwc,coehkdka,64
sprlemqs,rxjlqnrw,48
naykagtb,ojdgogia,64
nhqodkqd,kehfbgly,52
uykiyipy,dzhwuhgk,84
csbpryrs,nluykrxo,4
lrpnykap,ocnyossp,14
imqcndjp,dszjhvnp,98
dzwtxsci,eaklagtd,84
gdzvhjjz,nsdzpinr,28
jopyaace,ssncrogk,56
vonkugcv,zxqvrmkj,47
vwxdgpkf,yswbodqq,90
gaamnvuq,uxciaccv,56
pztpieiw,bonpumla,4
rxecqpfd,ctboandq,84
dajzrqzc,epoauvrp,86
rxhvnghe,fvhulrqk,42
spnlmzsu,hdimdcha,44
nnvmnkgv,hpvlijok,35
vnirciwk,iaidqsba,10
zwjrftdr,jajjmybo,22
tnadnghk,lmrwqsly,29
oggmvnpp,lhkmgxyc,38
ertkzeko,vejsvdev,83
zdhlnsfa,fihpvekg,16
zxyfjsab,gfgnpysh,70
sflfrpwj,gccexzpi,58
oplcjhpq,hcvbhfhw,20
tqpnroru,hbfhkiup,43
resswpzz,ghjrhnoi,40
zcrnhnhz,fnaflrwq,25
sogatrcz,bqxfdzet,44
qnfzephn,ljjncerk,74
mdptynxw,zqmrabsc,69
ckylrfpq,efaqmyhe,48
zcizsuce,yowgvixs,60
rckcevvu,mrwhtrlk,43
uzabeglk,msqydmqn,70
dixlqzbh,kbvfbxoa,70
ncosdkdt,pfpqkrha,38
nrcotkgj,bkygwhko,20
uzqkgsde,pdwcvvjc,38
dtuhojpo,hpyycqwg,84
uvczexhn,qxmvgtfw,0
aeffuwmr,rwyrtqls,20
dwtetjro,rfnstlzz,47
uymijwbl,nvjsrgru,51
bumdgjmc,rvszhbbz,31
irijyhtw,ijpncnlr,60
ticpbahu,wwygenxk,0
